Gene	Ensembl	RNA tissue specificity	RNA single cell type specificity
C11orf68	ENSG00000175573	Low tissue specificity	Low cell type specificity
CRNN	ENSG00000143536	Tissue enhanced	Cell type enriched
ENC1	ENSG00000171617	Tissue enriched	Cell type enhanced
GAMT	ENSG00000130005	Tissue enhanced	Group enriched
HERC1	ENSG00000103657	Low tissue specificity	Cell type enhanced
HMGXB4	ENSG00000100281	Low tissue specificity	Low cell type specificity
IGFBP3	ENSG00000146674	Tissue enhanced	Cell type enhanced
KRTAP5-7	ENSG00000244411	Tissue enhanced	Cell type enhanced
LGALS7	ENSG00000205076	Group enriched	Cell type enhanced
MAD1L1	ENSG00000002822	Low tissue specificity	Cell type enhanced
PML	ENSG00000140464	Low tissue specificity	Cell type enhanced
PPM1D	ENSG00000170836	Low tissue specificity	Cell type enhanced
PRODH	ENSG00000100033	Tissue enhanced	Cell type enriched
PRODH	ENSG00000277196	Tissue enriched	Cell type enhanced
RDH12	ENSG00000139988	Group enriched	Group enriched
RNF144B	ENSG00000137393	Tissue enhanced	Cell type enhanced
RSRC1	ENSG00000174891	Low tissue specificity	Low cell type specificity
SAA1	ENSG00000173432	Tissue enriched	Cell type enriched
UNC5B	ENSG00000107731	Low tissue specificity	Cell type enhanced
WARS1	ENSG00000140105	Tissue enhanced	Cell type enhanced
ZNF18	ENSG00000154957	Low tissue specificity	Cell type enhanced
CDIP1	ENSG00000089486	Tissue enhanced	Low cell type specificity
RNF34	ENSG00000170633	Low tissue specificity	Cell type enhanced
ARMC10	ENSG00000170632	Low tissue specificity	Low cell type specificity
ATM	ENSG00000149311	Low tissue specificity	Cell type enhanced
ELL3	ENSG00000128886	Group enriched	Cell type enhanced
HIPK2	ENSG00000064393	Tissue enriched	Cell type enhanced
IFI16	ENSG00000163565	Low tissue specificity	Cell type enhanced
JMY	ENSG00000152409	Low tissue specificity	Cell type enhanced
MUC1	ENSG00000185499	Tissue enhanced	Cell type enhanced
PERP	ENSG00000112378	Tissue enhanced	Cell type enhanced
PIDD1	ENSG00000177595	Low tissue specificity	Low cell type specificity
RFFL	ENSG00000092871	Low tissue specificity	Cell type enhanced
SIRT1	ENSG00000096717	Low tissue specificity	Cell type enriched
TP73	ENSG00000078900	Tissue enhanced	Cell type enhanced
ZNF385B	ENSG00000144331	Tissue enhanced	Cell type enhanced
BCL2L12	ENSG00000126453	Low tissue specificity	Cell type enhanced
EP300	ENSG00000100393	Low tissue specificity	Low cell type specificity
KDM1A	ENSG00000004487	Low tissue specificity	Cell type enhanced
KMT5A	ENSG00000183955	Low tissue specificity	Cell type enhanced
MIF	ENSG00000240972	Low tissue specificity	Cell type enhanced
MSX1	ENSG00000163132	Group enriched	Cell type enriched
NUAK1	ENSG00000074590	Low tissue specificity	Cell type enhanced
PDRG1	ENSG00000088356	Low tissue specificity	Cell type enhanced
PLK3	ENSG00000173846	Low tissue specificity	Cell type enhanced
PTTG1IP	ENSG00000183255	Low tissue specificity	Low cell type specificity
RBM38	ENSG00000132819	Tissue enhanced	Cell type enhanced
RPL11	ENSG00000142676	Low tissue specificity	Low cell type specificity
RPL26	ENSG00000161970	Low tissue specificity	Low cell type specificity
RRN3	ENSG00000085721	Low tissue specificity	Low cell type specificity
SHISA5	ENSG00000164054	Low tissue specificity	Cell type enhanced
SMYD2	ENSG00000143499	Tissue enhanced	Cell type enhanced
STK11	ENSG00000118046	Low tissue specificity	Cell type enhanced
TAF9	ENSG00000273841	Low tissue specificity	Cell type enhanced
TRIML2	ENSG00000179046	Group enriched	Group enriched
USP7	ENSG00000187555	Low tissue specificity	Cell type enhanced
VRK1	ENSG00000100749	Tissue enhanced	Cell type enhanced
ZNF385A	ENSG00000161642	Tissue enhanced	Cell type enhanced
BAX	ENSG00000087088	Low tissue specificity	Low cell type specificity
BRD7	ENSG00000166164	Low tissue specificity	Low cell type specificity
KLLN	ENSG00000227268	Tissue enhanced	Cell type enhanced
PRMT5	ENSG00000100462	Low tissue specificity	Cell type enhanced
PYHIN1	ENSG00000163564	Tissue enriched	Group enriched
ZNF420	ENSG00000197050	Low tissue specificity	Cell type enhanced
AEN	ENSG00000181026	Low tissue specificity	Cell type enhanced
ANKRD1	ENSG00000148677	Tissue enriched	Cell type enriched
ATAD5	ENSG00000176208	Tissue enhanced	Cell type enhanced
BAG6	ENSG00000204463	Low tissue specificity	Cell type enhanced
BANP	ENSG00000172530	Low tissue specificity	Cell type enhanced
BCL3	ENSG00000069399	Tissue enhanced	Cell type enhanced
BDKRB2	ENSG00000168398	Tissue enhanced	Cell type enhanced
BOP1	ENSG00000261236	Tissue enhanced	Cell type enhanced
BRCA2	ENSG00000139618	Tissue enhanced	Cell type enhanced
CD44	ENSG00000026508	Tissue enhanced	Cell type enhanced
CD74	ENSG00000019582	Tissue enhanced	Cell type enhanced
CD82	ENSG00000085117	Low tissue specificity	Cell type enhanced
DDX5	ENSG00000108654	Low tissue specificity	Low cell type specificity
DUSP26	ENSG00000133878	Group enriched	Cell type enhanced
DYRK2	ENSG00000127334	Low tissue specificity	Cell type enhanced
EEF1E1	ENSG00000124802	Low tissue specificity	Cell type enhanced
EIF5A	ENSG00000132507	Low tissue specificity	Cell type enhanced
FBXO11	ENSG00000138081	Low tissue specificity	Low cell type specificity
FBXO22	ENSG00000167196	Low tissue specificity	Cell type enhanced
GML	ENSG00000104499	Tissue enriched	Group enriched
GTSE1	ENSG00000075218	Tissue enhanced	Cell type enhanced
HAPSTR1	ENSG00000182831	Tissue enhanced	Cell type enriched
HDAC1	ENSG00000116478	Low tissue specificity	Low cell type specificity
ING4	ENSG00000111653	Low tissue specificity	Low cell type specificity
LATS2	ENSG00000150457	Low tissue specificity	Cell type enhanced
MAPK9	ENSG00000050748	Low tissue specificity	Low cell type specificity
MAPKAPK5	ENSG00000089022	Low tissue specificity	Low cell type specificity
MARCHF7	ENSG00000136536	Low tissue specificity	Cell type enhanced
MUL1	ENSG00000090432	Low tissue specificity	Low cell type specificity
NOP2	ENSG00000111641	Low tissue specificity	Cell type enhanced
PAK1IP1	ENSG00000111845	Low tissue specificity	Low cell type specificity
PHLDA3	ENSG00000174307	Low tissue specificity	Cell type enhanced
PMAIP1	ENSG00000141682	Tissue enhanced	Cell type enhanced
POU4F2	ENSG00000151615	Tissue enhanced	Cell type enhanced
PPP1R13L	ENSG00000104881	Tissue enhanced	Cell type enhanced
PPP2R5C	ENSG00000078304	Low tissue specificity	Cell type enhanced
PRAP1	ENSG00000165828	Group enriched	Cell type enriched
PYCARD	ENSG00000103490	Tissue enhanced	Cell type enhanced
RFWD3	ENSG00000168411	Tissue enhanced	Cell type enhanced
RNF20	ENSG00000155827	Low tissue specificity	Cell type enhanced
RPF2	ENSG00000197498	Low tissue specificity	Low cell type specificity
RPS27L	ENSG00000185088	Low tissue specificity	Cell type enhanced
RRP8	ENSG00000132275	Low tissue specificity	Low cell type specificity
SESN1	ENSG00000080546	Low tissue specificity	Cell type enhanced
SETD7	ENSG00000145391	Low tissue specificity	Low cell type specificity
SETD9	ENSG00000155542	Tissue enhanced	Group enriched
TAF1	ENSG00000147133	Low tissue specificity	Low cell type specificity
TIGAR	ENSG00000078237	Low tissue specificity	Cell type enhanced
TRIM24	ENSG00000122779	Low tissue specificity	Low cell type specificity
USP10	ENSG00000103194	Low tissue specificity	Low cell type specificity
USP2	ENSG00000036672	Tissue enhanced	Group enriched
YJU2	ENSG00000105248	Low tissue specificity	Low cell type specificity
ZNF280B	ENSG00000275004	Tissue enriched	Group enriched
ADGRB1	ENSG00000181790	Tissue enriched	Cell type enhanced
BAIAP2L1	ENSG00000006453	Tissue enhanced	Cell type enriched
CDC14A	ENSG00000079335	Tissue enhanced	Cell type enhanced
CDC14B	ENSG00000081377	Low tissue specificity	Cell type enhanced
CDKN2AIP	ENSG00000168564	Low tissue specificity	Cell type enhanced
COQ8A	ENSG00000163050	Group enriched	Cell type enhanced
DUOXA1	ENSG00000140254	Tissue enhanced	Cell type enhanced
E2F1	ENSG00000101412	Tissue enhanced	Cell type enhanced
GAK	ENSG00000178950	Low tissue specificity	Cell type enhanced
HIPK4	ENSG00000160396	Group enriched	Group enriched
ING1	ENSG00000153487	Low tissue specificity	Cell type enhanced
ING3	ENSG00000071243	Tissue enriched	Low cell type specificity
MTA2	ENSG00000149480	Low tissue specificity	Cell type enhanced
NDRG1	ENSG00000104419	Low tissue specificity	Cell type enhanced
PPM1A	ENSG00000100614	Tissue enhanced	Group enriched
ZMAT3	ENSG00000172667	Low tissue specificity	Low cell type specificity
ACER2	ENSG00000177076	Group enriched	Cell type enhanced
ADNP	ENSG00000101126	Low tissue specificity	Low cell type specificity
AGR2	ENSG00000106541	Tissue enhanced	Cell type enhanced
AIFM2	ENSG00000042286	Low tissue specificity	Cell type enhanced
ARHGAP11A	ENSG00000198826	Tissue enhanced	Cell type enhanced
ARIH2	ENSG00000177479	Low tissue specificity	Cell type enhanced
ATR	ENSG00000175054	Low tissue specificity	Low cell type specificity
ATRX	ENSG00000085224	Low tissue specificity	Low cell type specificity
AURKA	ENSG00000087586	Tissue enhanced	Cell type enhanced
AURKB	ENSG00000178999	Tissue enhanced	Group enriched
AXIN1	ENSG00000103126	Low tissue specificity	Cell type enhanced
BAK1	ENSG00000030110	Low tissue specificity	Cell type enhanced
BATF	ENSG00000156127	Tissue enhanced	Cell type enriched
BBC3	ENSG00000105327	Low tissue specificity	Cell type enhanced
BCL2	ENSG00000171791	Low tissue specificity	Cell type enhanced
BLM	ENSG00000197299	Tissue enhanced	Cell type enhanced
BOK	ENSG00000176720	Tissue enhanced	Cell type enhanced
BRD4	ENSG00000141867	Low tissue specificity	Low cell type specificity
CASP2	ENSG00000106144	Low tissue specificity	Cell type enhanced
CASP6	ENSG00000138794	Tissue enhanced	Cell type enhanced
CDK5	ENSG00000164885	Tissue enhanced	Low cell type specificity
CDK5RAP3	ENSG00000108465	Low tissue specificity	Cell type enhanced
CDKN1B	ENSG00000111276	Low tissue specificity	Cell type enhanced
CHD5	ENSG00000116254	Group enriched	Cell type enhanced
CHD8	ENSG00000100888	Low tissue specificity	Low cell type specificity
CHEK1	ENSG00000149554	Tissue enhanced	Cell type enhanced
CLCA2	ENSG00000137975	Tissue enhanced	Cell type enhanced
COPS3	ENSG00000141030	Low tissue specificity	Cell type enhanced
CRADD	ENSG00000169372	Low tissue specificity	Cell type enhanced
CREBBP	ENSG00000005339	Low tissue specificity	Low cell type specificity
CXXC5	ENSG00000171604	Tissue enhanced	Cell type enhanced
DAXX	ENSG00000204209	Low tissue specificity	Low cell type specificity
DAZAP2	ENSG00000183283	Low tissue specificity	Low cell type specificity
DDIT4	ENSG00000168209	Low tissue specificity	Low cell type specificity
DNAJA3	ENSG00000103423	Low tissue specificity	Low cell type specificity
DRAM1	ENSG00000136048	Tissue enhanced	Cell type enhanced
DYRK1A	ENSG00000157540	Low tissue specificity	Cell type enhanced
DYRK3	ENSG00000143479	Tissue enhanced	Cell type enhanced
E2F2	ENSG00000007968	Group enriched	Group enriched
E2F7	ENSG00000165891	Tissue enhanced	Group enriched
EDA2R	ENSG00000131080	Low tissue specificity	Cell type enriched
EHMT1	ENSG00000181090	Low tissue specificity	Cell type enhanced
EHMT2	ENSG00000204371	Low tissue specificity	Low cell type specificity
ENSG00000230707	ENSG00000230707	Tissue enhanced	Cell type enhanced
FHIT	ENSG00000189283	Tissue enriched	Cell type enhanced
FOXM1	ENSG00000111206	Tissue enhanced	Cell type enhanced
GADD45GIP1	ENSG00000179271	Low tissue specificity	Low cell type specificity
GATA1	ENSG00000102145	Tissue enriched	Cell type enriched
GLI1	ENSG00000111087	Tissue enhanced	Group enriched
GNL3	ENSG00000163938	Low tissue specificity	Low cell type specificity
GPR87	ENSG00000138271	Tissue enhanced	Cell type enhanced
GSK3B	ENSG00000082701	Low tissue specificity	Cell type enhanced
HDAC3	ENSG00000171720	Low tissue specificity	Low cell type specificity
HEXIM1	ENSG00000186834	Low tissue specificity	Cell type enhanced
HIC1	ENSG00000177374	Low tissue specificity	Cell type enhanced
HIF1A	ENSG00000100644	Tissue enhanced	Low cell type specificity
HINT1	ENSG00000169567	Low tissue specificity	Cell type enhanced
HIPK1	ENSG00000163349	Tissue enhanced	Low cell type specificity
HNRNPK	ENSG00000165119	Low tissue specificity	Low cell type specificity
HOXA5	ENSG00000106004	Tissue enhanced	Cell type enhanced
HSPB7	ENSG00000173641	Group enriched	Group enriched
HSPD1	ENSG00000144381	Tissue enhanced	Low cell type specificity
HTT	ENSG00000197386	Low tissue specificity	Low cell type specificity
HUWE1	ENSG00000086758	Low tissue specificity	Low cell type specificity
ING2	ENSG00000168556	Low tissue specificity	Cell type enhanced
ING5	ENSG00000168395	Low tissue specificity	Low cell type specificity
KAT5	ENSG00000172977	Low tissue specificity	Cell type enhanced
KAT6A	ENSG00000083168	Low tissue specificity	Low cell type specificity
LETMD1	ENSG00000050426	Low tissue specificity	Low cell type specificity
MAGEA2	ENSG00000268606	Tissue enriched	Not detected
MAGEA2B	ENSG00000183305	Tissue enriched	Not detected
MAP2K6	ENSG00000108984	Tissue enhanced	Cell type enhanced
MAPK14	ENSG00000112062	Low tissue specificity	Cell type enhanced
MLF1	ENSG00000178053	Tissue enhanced	Group enriched
MSH2	ENSG00000095002	Low tissue specificity	Cell type enhanced
MTOR	ENSG00000198793	Low tissue specificity	Low cell type specificity
MYBBP1A	ENSG00000132382	Low tissue specificity	Low cell type specificity
MYC	ENSG00000136997	Tissue enhanced	Cell type enhanced
MYO6	ENSG00000196586	Low tissue specificity	Cell type enhanced
NBN	ENSG00000104320	Low tissue specificity	Cell type enhanced
NPPC	ENSG00000163273	Tissue enhanced	Cell type enhanced
NTRK3	ENSG00000140538	Tissue enhanced	Cell type enhanced
NUPR1	ENSG00000176046	Tissue enhanced	Cell type enhanced
OSGIN1	ENSG00000140961	Tissue enriched	Cell type enhanced
PANK1	ENSG00000152782	Tissue enhanced	Cell type enhanced
PAXIP1	ENSG00000157212	Tissue enhanced	Low cell type specificity
PCBP4	ENSG00000090097	Tissue enhanced	Group enriched
PDK2	ENSG00000005882	Tissue enhanced	Cell type enhanced
PIAS2	ENSG00000078043	Tissue enriched	Cell type enhanced
PIP4P1	ENSG00000165782	Low tissue specificity	Cell type enhanced
PLA2R1	ENSG00000153246	Tissue enhanced	Cell type enhanced
PLK2	ENSG00000145632	Low tissue specificity	Cell type enhanced
POU4F1	ENSG00000152192	Tissue enhanced	Cell type enhanced
PPP1R15A	ENSG00000087074	Tissue enhanced	Cell type enhanced
PRKN	ENSG00000185345	Tissue enhanced	Group enriched
PRMT6	ENSG00000198890	Low tissue specificity	Low cell type specificity
PSMD10	ENSG00000101843	Low tissue specificity	Cell type enhanced
PSME3	ENSG00000131467	Low tissue specificity	Cell type enhanced
RCHY1	ENSG00000163743	Low tissue specificity	Low cell type specificity
RGCC	ENSG00000102760	Tissue enhanced	Cell type enhanced
RNF125	ENSG00000101695	Tissue enhanced	Cell type enhanced
RPL23	ENSG00000125691	Low tissue specificity	Low cell type specificity
RPL37	ENSG00000145592	Low tissue specificity	Low cell type specificity
RPL5	ENSG00000122406	Low tissue specificity	Low cell type specificity
RPRM	ENSG00000177519	Low tissue specificity	Group enriched
RPS15	ENSG00000115268	Low tissue specificity	Low cell type specificity
RPS20	ENSG00000008988	Low tissue specificity	Low cell type specificity
RPS6KA6	ENSG00000072133	Low tissue specificity	Cell type enhanced
RPS7	ENSG00000171863	Low tissue specificity	Low cell type specificity
RRS1	ENSG00000179041	Low tissue specificity	Low cell type specificity
RUNDC1	ENSG00000198863	Low tissue specificity	Low cell type specificity
SESN2	ENSG00000130766	Low tissue specificity	Cell type enhanced
SGK1	ENSG00000118515	Tissue enhanced	Cell type enhanced
SMARCA4	ENSG00000127616	Low tissue specificity	Low cell type specificity
SMARCB1	ENSG00000099956	Low tissue specificity	Cell type enhanced
SNAI1	ENSG00000124216	Tissue enhanced	Cell type enhanced
SNAI2	ENSG00000019549	Low tissue specificity	Cell type enhanced
SNW1	ENSG00000100603	Low tissue specificity	Cell type enhanced
SOX30	ENSG00000039600	Tissue enriched	Group enriched
SOX4	ENSG00000124766	Tissue enhanced	Cell type enhanced
SP100	ENSG00000067066	Tissue enhanced	Cell type enhanced
SPRED1	ENSG00000166068	Low tissue specificity	Cell type enhanced
SPRED2	ENSG00000198369	Low tissue specificity	Cell type enhanced
STEAP3	ENSG00000115107	Tissue enhanced	Cell type enhanced
TADA3	ENSG00000171148	Low tissue specificity	Low cell type specificity
TAF3	ENSG00000165632	Low tissue specificity	Low cell type specificity
TAF9B	ENSG00000187325	Low tissue specificity	Cell type enhanced
TEP1	ENSG00000129566	Low tissue specificity	Cell type enhanced
TFAP4	ENSG00000090447	Low tissue specificity	Cell type enhanced
TIFAB	ENSG00000255833	Tissue enhanced	Cell type enhanced
TMEM109	ENSG00000110108	Low tissue specificity	Low cell type specificity
TPRKB	ENSG00000144034	Low tissue specificity	Cell type enhanced
TRIM29	ENSG00000137699	Tissue enhanced	Cell type enhanced
TWIST1	ENSG00000122691	Tissue enhanced	Cell type enhanced
UBB	ENSG00000170315	Low tissue specificity	Low cell type specificity
UBE2D1	ENSG00000072401	Tissue enhanced	Cell type enhanced
UBE2D2	ENSG00000131508	Low tissue specificity	Cell type enhanced
UBE2D3	ENSG00000109332	Low tissue specificity	Low cell type specificity
UBE2L3	ENSG00000185651	Low tissue specificity	Low cell type specificity
URB2	ENSG00000135763	Low tissue specificity	Cell type enhanced
USP15	ENSG00000135655	Tissue enhanced	Low cell type specificity
USP28	ENSG00000048028	Tissue enhanced	Cell type enhanced
WWOX	ENSG00000186153	Low tissue specificity	Cell type enhanced
ZMPSTE24	ENSG00000084073	Low tissue specificity	Low cell type specificity
ZNHIT1	ENSG00000106400	Low tissue specificity	Cell type enhanced
ADGRB3	ENSG00000135298	Group enriched	Group enriched
ATG7	ENSG00000197548	Low tissue specificity	Cell type enriched
BAIAP3	ENSG00000007516	Group enriched	Cell type enhanced
CCDC8	ENSG00000169515	Tissue enhanced	Cell type enhanced
CCN4	ENSG00000104415	Tissue enhanced	Cell type enhanced
CCNG1	ENSG00000113328	Low tissue specificity	Cell type enhanced
CDC25C	ENSG00000158402	Tissue enhanced	Group enriched
CENPS	ENSG00000175279	Tissue enhanced	Cell type enhanced
CSNK1D	ENSG00000141551	Low tissue specificity	Cell type enhanced
CUL7	ENSG00000044090	Low tissue specificity	Low cell type specificity
DMTF1	ENSG00000135164	Low tissue specificity	Cell type enhanced
GADD45A	ENSG00000116717	Tissue enhanced	Cell type enhanced
GAS2	ENSG00000148935	Tissue enhanced	Group enriched
JUND	ENSG00000130522	Low tissue specificity	Cell type enhanced
KLF4	ENSG00000136826	Tissue enhanced	Cell type enhanced
MED1	ENSG00000125686	Low tissue specificity	Low cell type specificity
MKRN1	ENSG00000133606	Low tissue specificity	Cell type enhanced
MYL12A	ENSG00000101608	Group enriched	Cell type enriched
NIBAN1	ENSG00000135842	Tissue enhanced	Group enriched
NOL3	ENSG00000140939	Low tissue specificity	Low cell type specificity
P2RX6	ENSG00000099957	Group enriched	Cell type enhanced
PEG3	ENSG00000198300	Tissue enhanced	Cell type enhanced
PSRC1	ENSG00000134222	Group enriched	Cell type enhanced
RBM5	ENSG00000003756	Low tissue specificity	Cell type enhanced
SMPD4	ENSG00000136699	Low tissue specificity	Cell type enhanced
SPATA18	ENSG00000163071	Tissue enhanced	Cell type enriched
TNFRSF10C	ENSG00000173535	Tissue enhanced	Cell type enhanced
TRIP12	ENSG00000153827	Low tissue specificity	Cell type enhanced
UBE3A	ENSG00000114062	Low tissue specificity	Low cell type specificity
UHRF1	ENSG00000276043	Group enriched	Cell type enhanced
ZMIZ1	ENSG00000108175	Low tissue specificity	Cell type enhanced
